Compound_ID,Murcko_Scaffold,QSAR_Rank,SMILES,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations,XGBoost_pActivity,RandomForest_pActivity,Consensus_pActivity,Model_difference,Max_Morgan_Tanimoto,SA_Score,Max_Murcko_Scaffold_Similarity,HTVS_Priority_Score
BCRL00001,,229824,COC(=O)CCC(=O)N=CCCCCN(C)C(=O)CCCCCCCCCCCN(C)C,453.66800000000046,4.628300000000004,0,5,79.28,20,0,5.685357,5.084253965334156,5.384805529572596,0.6011031284768791,0.231,2.802,0.0,0.6869776271608213
BCRL00002,C(#CC(C#Cc1ccccn1)c1cccnc1)c1ccccc1,71480,Cc1ccccc1C#CC(C#Cc1ncccc1N)c1cnc(C)c(C(F)(F)F)c1,405.42300000000006,4.881440000000003,1,3,51.8,1,0,5.8564763,6.11784161304312,5.987158959979201,0.2613653061278365,0.258,3.718,0.283,0.6303460992002194
BCRL00003,C(#CC(C#Cc1cnc2ccccn12)c1ccccc1)c1cncnc1,24203,COc1cccc(C(C#Cc2cncnc2N)C#Cc2cnc3ccccn23)c1,379.42300000000006,2.902100000000001,1,5,78.33,2,0,6.9215612,6.306286486235812,6.6139238636928575,0.6152747549140907,0.338,3.705,0.356,0.6268899139339345
BCRL00004,C(#CC(CC1CCNCC1)c1ccccc1)c1cncnc1,35996,CN1CCC(CC(C#Cc2cncnc2N)c2ccc(F)c(F)c2)CC1,356.42000000000013,3.204200000000002,1,4,55.040000000000006,3,0,6.395461,6.284636406148281,6.340048744303388,0.1108246763102149,0.291,3.364,0.383,0.6282981315493001
BCRL00005,C(#CC(CCN1CCNCC1)c1ccccc1)c1ccccn1,136074,CN1CCN(CCC(O)(C#Cc2ccccn2)c2ccccc2)CC1,335.4510000000001,1.9584,1,4,39.6,4,0,5.783201,5.583199394332398,5.683200305991883,0.2000018233189688,0.29,3.059,0.328,0.614875071768817
BCRL00006,C(#CC(CN1CCNCC1)c1cccc2nn[nH]c12)c1ccc(-c2ccccc2)cc1,72760,COc1cccc(-c2ccc(C#CC(CN3CCN(CCO)CC3)c3cccc4nnn(C)c34)cc2OC)c1,525.6530000000002,3.397700000000002,1,7,75.88000000000001,8,1,6.0392046,5.918338982399033,5.978771789936088,0.1208656150741118,0.371,3.415,0.297,0.606458691552364
BCRL00007,C(#CC(CN1CCOCC1)C1CCCC1)c1cc2nc(NC3CCCC3)cnc2cn1,123695,NC(C#Cc1cc2nc(NC3CCCC3)cnc2cn1)(CN1CCOCC1)C1CCCC1,434.5880000000004,2.950700000000001,2,7,89.19,5,0,5.545417,5.916417536485938,5.730917184228076,0.3710007045157235,0.317,3.656,0.312,0.5987463703910263
BCRL00008,C(#CC(Cc1ccccc1)c1ccccc1)c1cnc[nH]1,153590,COc1ccc(C(C#Cc2c(N)ncn2C)Cc2ccc(F)cc2)cc1,349.409,3.5280000000000022,1,3,53.07,4,0,5.5603814,5.679802008242215,5.620091710374159,0.1194205957361109,0.307,3.132,0.304,0.6104969431396874
BCRL00009,C(#CC(Cn1ccnc1)c1ccccc1)c1cccnc1,105273,CCc1ccc(C(C#Cc2cncc(Br)c2)Cn2ccnc2)cc1,380.2890000000001,4.438500000000003,0,2,30.71,4,0,5.8483877,5.766423636745986,5.807405677473335,0.0819640814546973,0.253,3.219,0.324,0.62703240533191
BCRL00010,C(#CC(Cn1cnc2ccccc21)c1ccccc1)c1ccccc1,126395,COc1cccc(C(O)(C#Cc2cccc(C(F)(F)F)c2)C(C)n2cnc3c(C(N)=O)cccc32)c1,493.4850000000002,4.663100000000004,2,4,90.37,5,0,5.6936345,5.74619725255641,5.719915881298347,0.0525627425161268,0.333,3.712,0.426,0.5700054225574575
