Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_000001,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCN(C)CC3)sc2c1,0.015,10.82390874094432,1,BindingDB,O=C(NCCN1CCNCC1)Nc1nc2ccc(-c3ccccc3)cc2s1
BCRABL_000002,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,0.016,10.795880017344077,1,ChEMBL,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1
BCRABL_000003,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1,0.021,10.67778070526608,1,BindingDB,O=C(NCCN1CCOCC1)Nc1nc2ccc(-c3ccccc3)cc2s1
BCRABL_000004,CCNC(=O)Nc1nc2ccc(-c3ccccc3OCC)cc2s1,0.03,10.522878745280336,1,BindingDB,c1ccc(-c2ccc3ncsc3c2)cc1
BCRABL_000005,COc1ccc(Cl)c(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c1,0.06,10.221848749616356,2,"BindingDB, ChEMBL",c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1
BCRABL_000006,CCNC(=O)Nc1nc2ccc(-c3ccccc3OC)cc2s1,0.06,10.221848749616356,1,BindingDB,c1ccc(-c2ccc3ncsc3c2)cc1
BCRABL_000007,COc1ccccc1-c1ccc2nc(NC(=O)NCCO)sc2c1,0.064,10.193820026016112,1,BindingDB,c1ccc(-c2ccc3ncsc3c2)cc1
BCRABL_000008,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0.08,10.096910013008056,3,"BindingDB, ChEMBL",c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1
BCRABL_000009,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2Cc3cn[nH]c3C2)c(-c2cncnc2)c1,0.1,10.0,1,BindingDB,O=C(Nc1ccccc1)c1cnc(N2Cc3cn[nH]c3C2)c(-c2cncnc2)c1
BCRABL_000010,CN(C)[C@H]1CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cncnc2)C[C@@H]1O,0.1,10.0,1,BindingDB,O=C(Nc1ccccc1)c1cnc(N2CCCC2)c(-c2cncnc2)c1
BCRABL_000011,N#Cc1cncc(-c2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cnc2N2C[C@H](O)[C@@H](O)C2)c1,0.1,10.0,1,BindingDB,O=C(Nc1ccccc1)c1cnc(N2CCCC2)c(-c2cccnc2)c1
BCRABL_000012,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC(O)C2)c(-c2ccn[nH]2)c1,0.1,10.0,1,BindingDB,O=C(Nc1ccccc1)c1cnc(N2CCC2)c(-c2ccn[nH]2)c1
BCRABL_000013,CC1(O)CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2ccn[nH]2)C1,0.1,10.0,1,BindingDB,O=C(Nc1ccccc1)c1cnc(N2CCCC2)c(-c2ccn[nH]2)c1
