metric,value
reinvent_version,4.8.24
tl_corpus,5624
tl_distinct_smiles,5617
tl_epochs,20
tl_batch_size,50
rl_strategy,DAP
rl_learning_rate,0.0001
rl_sigma,128
rl_batch_size,64
activity_weight,0.80
novelty_weight,0.20
diversity_filter,IdenticalMurckoScaffold
diversity_bucket_size,25
diversity_minimum_score,0.5
termination_target,0.80
termination_minimum_steps,25
termination_maximum_steps,1000
production_samples,1000000
production_unique_molecules,true
production_randomize_smiles,false
valid_unique_generated,723314
unique_scaffolds,499968
internal_diversity,0.877
generated_below_similarity_0.60_percent,93.58
non_exact_tl_reproductions_percent,99.83
