Compound_ID,Stars,Title,HTVS_Priority_Score,glide gscore,Consensus_pActivity_x,SA_Score_x,Max_Morgan_Tanimoto_x,Max_Murcko_Scaffold_Similarity_x,SMILES,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations
BCRL18077,,BCRL18077,0.575,-17.627,5.845,2.666,0.394,0.486,CCc1ccc(NC(=O)c2ccc3[nH]cc(NC(=O)CCN4CCOCC4)c3c2)cc1CN1CCCN(C)CC1,546.7160000000003,3.7809000000000026,3.0,6.0,92.94,9.0,1.0
BCRL46354,,BCRL46354,0.621,-16.947,6.27,3.311,0.296,0.403,CC(NC(=O)CN)C(=O)Nc1cccc(C#Cc2cnc3c(NC(=O)C4CC4)[nH]nc3c2)c1,445.48300000000023,1.1081000000000005,5.0,6.0,154.89,6.0,0.0
BCRL34603,,BCRL34603,0.612,-16.584,6.524,3.079,0.398,0.413,O=C(NC1CCN(Cc2ccc(-c3cnc4[nH]ncc4c3)cc2)C1)c1ccnc(C(F)(F)F)c1,466.4670000000002,4.043000000000003,2.0,5.0,86.8,5.0,0.0
BCRL37224,,BCRL37224,0.585,-16.042,5.438,2.904,0.354,0.355,Cc1ccc(C(=O)NCCN2CCC(C(=O)C3CCCCC3)C2)cc1NC(=O)c1ccc2ncccc2c1,512.6540000000003,4.996620000000004,2.0,5.0,91.4,8.0,1.0
BCRL49059,,BCRL49059,0.646,-15.949,6.804,3.369,0.336,0.354,Cc1nnc(C(=O)Nc2ccc(C3CCOCC3)cc2-c2ccn[nH]2)cc1C#Cc1cnc2[nH]ncc2c1,504.55400000000014,3.9925200000000025,3.0,7.0,134.36,4.0,1.0
BCRL17213,,BCRL17213,0.629,-15.842,6.933,2.819,0.422,0.429,Cc1ccc(NC(=O)CCCC2CCNCC2)cc1-n1ccc(-c2cnc3[nH]ncc3c2)n1,443.5550000000001,4.227420000000002,3.0,5.0,100.52000000000001,7.0,0.0
BCRL02496,,BCRL02496,0.638,-15.744,6.24,2.658,0.312,0.372,C(#Cc1cnc2[nH]ncc2c1)c1cccc(COc2cccc(CNCc3ccco3)c2)c1,434.49900000000014,4.819500000000003,2.0,5.0,75.97,7.0,0.0
BCRL37320,,BCRL37320,0.61,-15.635,5.986,3.084,0.33,0.373,Cc1nc2c3ccc(-c4nc(C(=O)NCCN5CCCC5)ccc4C(F)(F)F)cc3[nH]ncc1=2,468.48300000000006,3.8975000000000026,2.0,5.0,86.8,5.0,0.0
BCRL38234,,BCRL38234,0.569,-15.62,5.689,3.132,0.4,0.413,Cc1ccc(C(Br)NCCNC(=O)c2ccc(-c3ccc4c(=O)nc(N)nc-4nc3)cc2)cc1,519.4030000000002,3.3073200000000016,3.0,7.0,122.89,7.0,1.0
BCRL47287,,BCRL47287,0.643,-15.601,6.543,3.098,0.324,0.353,Cc1ccc(C(=O)Nc2cc(N3CCN(C4COC4)CC3)nc(C3CC3)n2)cc1-n1ccc(-c2cncnc2)c1,536.6400000000003,3.683220000000002,1.0,8.0,101.30000000000001,7.0,1.0
