metric,value
final_molecules,50000
distinct_scaffold_classes_including_acyclic,50000
consensus_pIC50_min,5.000002
consensus_pIC50_max,9.010633
consensus_pIC50_mean,5.555298
consensus_pIC50_median,5.474303
maximum_morgan_similarity_min,0.143
maximum_morgan_similarity_max,0.495
maximum_morgan_similarity_mean,0.327748
maximum_morgan_similarity_median,0.323
maximum_murcko_similarity_min,0.000
maximum_murcko_similarity_max,0.494
maximum_murcko_similarity_mean,0.390477
maximum_murcko_similarity_median,0.394
sa_score_min,1.664
sa_score_max,4.000
sa_score_mean,2.889469
sa_score_median,2.820
mw_mean,413.007711
logp_mean,3.359791
tpsa_mean,87.051551
hbd_mean,1.749100
hba_mean,5.226640
rotatable_bonds_mean,5.409700
